"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"pROC","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.18.0",NA,NA,NA,NA
"processx","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.5.2",NA,NA,NA,NA
"PROJ","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.0",NA,NA,NA,NA
"proj4","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-11",NA,NA,NA,NA
"promises","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.0.1",NA,NA,NA,NA
"proxy","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4-26",NA,NA,NA,NA
"pryr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.5",NA,NA,NA,NA
"ps","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.0",NA,NA,NA,NA
"PSPclean","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.2.9000","PSPclean","ianmseddy","development","3c3f0e7082e14c111a607c3ba803abf0396343e6"
"purrr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.4",NA,NA,NA,NA
"qs","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.25.2",NA,NA,NA,NA
"quadmesh","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.0",NA,NA,NA,NA
"quantreg","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.88",NA,NA,NA,NA
"quickPlot","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.6",NA,NA,NA,NA
"R.methodsS3","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.1",NA,NA,NA,NA
"R.oo","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.24.0",NA,NA,NA,NA
"R.utils","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.11.0",NA,NA,NA,NA
"R6","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.5.1",NA,NA,NA,NA
"RApiSerialize","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.0",NA,NA,NA,NA
"rappdirs","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.3",NA,NA,NA,NA
"raster","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.5-15",NA,NA,NA,NA
"rasterVis","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.51.2",NA,NA,NA,NA
"rcmdcheck","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.0",NA,NA,NA,NA
